,year,country_name,DM_age_marr_mean,DM_age_mean,ED_educ_years_mean,FP_desired_mean,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,HH_time_water_mean,HH_women_time_water_mean,RH_age_first_birth_mean,RH_age_first_sex_mean,RH_children_born_mean,RH_children_living_mean,WL_wealth_mean,FP_desired_daugh_mean,FP_desired_sons_mean,DM_age_diff_mean,HL_number_cigarettes_mean
113,1998,Guatemala,19.405,28.7875,6.2675,3.05,0.7975,4.885,4.9375,0.9225,5.775,24.095,26.16,20.7575,19.03,2.3225,2.1525,51.96,1.405,1.42,3.1125,NA
114,1998,India,15.49833333,25.90666667,2.376666667,2.033333333,0.595,4.761666667,4.805,0.621666667,5.008333333,17.445,14.73333333,17.505,NA,2.298333333,1.993333333,34.69333333,NA,NA,NA,NA
115,1998,Indonesia,19.65666667,20.55666667,5.195,1.671666667,0.521666667,NA,4.723333333,0.43,3.37,3.613333333,2.196666667,18.61,17.27666667,1.578333333,1.445,61.22333333,0.711666667,0.701666667,NA,NA
116,1998,Jordan,19.937,18.126,5.11,2.235,0.921,5.722,5.727,0.709,3.79,35.7625,24.3175,17.695,NA,2.257,2.153,80.133,0.886,1.082,3.469,NA
117,1998,Kenya,19.92,26.97,9.44,2.92,0.43,3.15,3.12,0.72,4.58,13.9,16.92,20.93,16.72,1.65,1.55,45.88,1.1,1.19,5.78,NA
118,1998,Madagascar,19.10571429,28.92714286,5.352857143,8.142857143,0.928571429,4.851428571,4.905714286,1.041428571,5.87,16.31,16.83,20.36285714,18.22571429,2.9,2.491428571,19.72571429,5.357142857,5.395714286,4.521428571,NA
119,1998,Malawi,17.2025,27.6775,5.4925,4.71,0.9375,4.62,4.69,1.19,5.93,31.0025,30.7575,18.5,NA,3.1675,2.5525,16.475,NA,NA,NA,NA
120,1998,Mali,15.34,28.854,0.69,5.938,1.376,5.706,6.1,1.812,8.032,14.568,14.238,18.36,15.056,4.002,2.886,15.912,2.36,2.848,13.614,NA
121,1998,Morocco,19.04090909,28.86,2.090909091,3.468181818,0.867272727,5.458181818,5.583636364,1.073636364,7.169090909,NA,NA,21.28,NA,2.244545455,1.948181818,54.72909091,NA,NA,NA,NA
122,1998,Mozambique,16.225,29.33,1.493333333,6.753333333,0.868333333,3.875,4.143333333,1.081666667,4.773333333,19.32,19.11833333,18.68,15.335,3.496666667,2.67,21.335,3.343333333,3.13,6.79,NA
123,1998,Nepal,16.992,24.424,1.22,2.162,0.9,5.188,5.328,0.86,5.106,17.372,13.272,19.23,16.508,2.544,2.176,24.832,0.788,1.224,3.868,NA
124,1998,Nicaragua,17.02,27.82,5.05,2.92,1.05,5.52,5.61,1.31,6.93,NA,NA,18.88,17.48,2.8,2.5,30.99,1.04,1.03,5.5,NA
125,1998,Niger,15.11,28.37,0.68,8.13,1.29,5.27,5.41,1.59,6.78,35.19,34.25,17.72,14.86428571,3.91,2.67,7.98,1.64,2.09,12.02,NA
126,1998,Pakistan,18.588,22.304,1.610666667,2.717333333,1.088666667,6.520666667,6.688,0.992,5.623333333,31.93066667,24.37266667,19.402,NA,2.734666667,2.374666667,46.216,NA,NA,NA,NA
127,1998,Peru,18.525,29.25,6.06,2.6,0.775,4.69,4.715,0.995,5.925,13.79,12.9,19.725,17.575,3.05,2.75,28.445,0.965,0.96,4.775,NA
128,1998,Senegal,18.77,28.20625,4.005,4.64125,1.46875,8.3025,8.36625,2.16125,12.55875,15.93625,16.41125,20.29625,18.33,2.5975,2.31625,48.42625,NA,NA,NA,NA
129,1998,South Africa,22.4,30.23,9.35,2.43,0.43,4.09,4.13,0.73,5.63,13.69,9.99,21.14,18.84,1.62,1.57,77.68,NA,NA,2.86,NA
130,1998,Tanzania,17.63,28.59333333,4.35,5.066666667,0.76,4.273333333,4.39,0.96,5.636666667,64.32666667,66.18,18.39,15.95,3.223333333,2.45,11.91666667,1.9225,2.0725,8.685,NA
131,1998,Togo,19.78,27.61,4.6,3.49,0.6,4.72,4.76,0.77,6.87,NA,NA,20.66,17.61,1.76,1.54,51.92,1.39,1.37,6.66,NA
132,1998,Uganda,17.396,26.808,5.822,4.526,0.964,4.366,4.422,1.308,6.186,38.078,37.732,18.112,15.93,3.144,2.66,16.662,2.058,1.886,NA,NA
133,1998,Vietnam,19.712,23.792,4.882,1.602,0.626,4.932,4.986,0.544,3.936,11.47,7.554,20.734,NA,2.128,1.978,28.856,0.592,0.652,1.764,NA
134,1998,Zambia,17.48666667,27.53,6.283333333,4.943333333,0.996666667,5.18,5.35,1.39,7.166666667,20.73333333,19.54666667,18.49666667,16.07,3.1,2.593333333,19.65666667,2.323333333,2.223333333,7.916666667,NA
135,1998,Zimbabwe,18.108,27.754,6.808,4.728,0.728,4.22,4.36,1.002,5.724,26.4,28.834,19.462,17.774,2.738,2.424,22.384,2.172,2.226,NA,NA
